artist_id,name,type,album_name,gender,album_year,album_id,album_format,album_format_2
1,The Persuader,artist,Kaos,electronic,1997,20209,"10""",Vinyl
1,The Persuader,artist,Snorkelmannen Ø Hans Vänner,electronic,1997,62584,"12""",Vinyl
1,The Persuader,artist,Stockholm By Night,electronic,1997,321212,varios,undefined
1,The Persuader,artist,City Of Islands,electronic,1998,4242,varios,undefined
1,The Persuader,artist,Pleasure,electronic,1998,4250,varios,undefined
1,The Persuader,artist,Morgon Sol,electronic,1998,374577,varios,undefined
1,The Persuader,artist,A View From Slussen,electronic,1998,3506685,varios,undefined
1,The Persuader,artist,Stockholm,electronic,1999,24200,CD,CD
1,The Persuader,artist,Stockholm,electronic,1999,1660109,varios,undefined
1,The Persuader,artist,Central Bron,electronic,2001,2466976,varios,undefined
1,The Persuader,artist,Autumn Leaves EP,electronic,2013,863513,varios,undefined
1,The Persuader,artist,Fusion Of Thoughts,electronic,2013,637047,varios,undefined
1,The Persuader,artist,The Persuader EP1,electronic,2014,5516176,"12"", EP",Vinyl
1,The Persuader,artist,The Persuader EP2,electronic,2014,5841765,"12"", EP",Vinyl
1,The Persuader,artist,The Persuader EP3,electronic,2014,6146433,"12"", EP",Vinyl
1,The Persuader,artist,Skargard,electronic,2015,827783,varios,undefined
1,The Persuader,artist,Vårblommor,electronic,2015,926124,varios,undefined
1,The Persuader,artist,Himmel Röd,electronic,2016,8296032,"12""",Vinyl
1,The Persuader,artist,Arrival,electronic,2017,10392503,"12""",Vinyl
1,The Persuader,artist,Aftermath,electronic,2017,11334732,"12""",Vinyl
1,The Persuader,artist,Strange Idols 004,electronic,2017,12855756,"3xFile, MP3, EP",
1,The Persuader,artist,Cosmic Isolation EP,electronic,2019,13392912,"12"", EP, Ltd",Vinyl
1,The Persuader,artist,The Truth EP,electronic,2024,31709663,"12"", EP",Vinyl
1,The Persuader,artist,Live @ The Traxx,electronic,1997,12526186,"Cass, Mixed, Promo, C90",
1,The Persuader,artist,Loves You All Night And Day,electronic,1997,1157881,varios,undefined
1,The Persuader,artist,The Big Bang Theory,electronic,1997,169563,varios,undefined
1,The Persuader,artist,The Lords Of Svek Vol. 4,electronic,1998,5955,CD,CD
1,The Persuader,artist,That Smarts!,electronic,1998,31022215,"Cass, Mixed, Promo, C90",
1,The Persuader,artist,Diskophrenia Remixes,electronic,1998,1042102,varios,undefined
1,The Persuader,artist,Chill On Kaos Volume Two,electronic,2001,229135,CD,CD
1,The Persuader,artist,Raw Essentials,electronic,2008,2629499,CD,CD
1,The Persuader,artist,Volume 1-4 - Live At Robert Johnson,electronic,2010,2219613,CD,CD
1,The Persuader,artist,Live At Robert Johnson,electronic,2010,944234,varios,undefined
1,The Persuader,artist,My Busted SH-101,electronic,2014,5468479,"12""",Vinyl
1,The Persuader,artist,Guitarra Trina,electronic,2014,5885934,"12""",Vinyl
1,The Persuader,artist,Soppåsar / 5 Months Later,electronic,2015,6699352,"12""",Vinyl
1,The Persuader,artist,Diffused Light Vol. 1,electronic,2015,2388250,varios,undefined
1,The Persuader,artist, Heart (Remixes)  ,electronic,2015,1723086,varios,undefined
1,The Persuader,artist,Capricorn Meets Leo,electronic,2016,8321965,"12""",Vinyl
1,The Persuader,artist,Welcome To The Present Remixe,electronic,2016,15490621,"5xFile, WAV, Single",
1,The Persuader,artist,Consistency Remixes ,electronic,2016,1644222,varios,undefined
1,The Persuader,artist,Water Colors EP,electronic,2017,2303872,varios,undefined
1,The Persuader,artist,Odd Even Red One,electronic,2018,11940415,"10x12"", Ltd, Red",Vinyl
1,The Persuader,artist,KaRavan - Heartfulness,electronic,2018,24489959,CD,CD
1,The Persuader,artist,Soft Serve Angel EP,electronic,2020,15695576,"12"", EP, Ltd",Vinyl
1,The Persuader,artist,Silent Ghost,electronic,2021,21237538,"3xFile, MP3, EP, 320",
1,The Persuader,artist,"Yeah, No, 4 Sure",electronic,2021,29463514,"6xFile, WAV, EP",
1,The Persuader,artist,City Of Bridges,electronic,2021,2567561,varios,undefined
1,The Persuader,artist,CTRL008,electronic,2022,27077919,"2xFile, MP3, EP, 320",
2,Mr. James Barth & A.D.,vendor,Knockin' Boots Vol 1 And 2,no description,1998,84883,CD,CD
2,Mr. James Barth & A.D.,vendor,Knockin' Boots (Vol 1 Of 2),no description,1998,713737,varios,undefined
2,Mr. James Barth & A.D.,vendor,Knockin' Boots (Vol 2 Of 2),no description,1998,713738,varios,undefined
2,Mr. James Barth & A.D.,artist,The Lords Of Svek Vol. 4,electronic,1998,5955,CD,CD
2,Mr. James Barth & A.D.,vendor,The Button Down Mind Of Daniel Bell,no description,2000,407163,varios,undefined
2,Mr. James Barth & A.D.,vendor,Seven Years Of Svek Collection One,no description,2003,167072,CD,CD
2,Mr. James Barth & A.D.,vendor,4/4 : Volume I,no description,2010,2295159,"File, MP3, Comp, Mix",
2,Mr. James Barth & A.D.,vendor,LWE Podcast 107,no description,2011,3999196,"File, MP3, Mixed, 320",
2,Mr. James Barth & A.D.,vendor,Remastered,no description,2019,24734435,"27xFile, WAV, Comp, RM",
2,Mr. James Barth & A.D.,vendor,The Button Down Mind Of Daniel Bell,no description,2000,407163,varios,undefined
3,Josh Wink,artist,Untitled,electronic,1992,3142158,varios,undefined
3,Josh Wink,artist,Nervous Build-Up,electronic,1993,388859,varios,undefined
3,Josh Wink,artist,Liquid Summer,electronic,1994,129764,"12""",Vinyl
3,Josh Wink,artist,How's The Music,electronic,1994,75964,varios,undefined
3,Josh Wink,artist,Thoughts Of A Tranced Love,electronic,1994,86636,varios,undefined
3,Josh Wink,artist,Meditation Will Manifest,electronic,1994,86666,varios,undefined
3,Josh Wink,artist,Don't Laugh,electronic,1995,86619,varios,undefined
3,Josh Wink,artist,"United DJs Of America, Vol. 3: Philadelphia, PA",electronic,1995,86633,varios,undefined
3,Josh Wink,artist,Hypnotizin',electronic,1995,86649,varios,undefined
3,Josh Wink,artist,I'm Ready,electronic,1995,86703,varios,undefined
3,Josh Wink,artist,Don't Laugh But Lick It,electronic,1995,62199,varios,undefined
3,Josh Wink,artist,Higher State Of Consciousness,electronic,1995,45817,varios,undefined
3,Josh Wink,artist,Stairway To Headphones,electronic,1995,3607505,varios,undefined
3,Josh Wink,artist,EP,electronic,1996,4712479,CD,CD
3,Josh Wink,artist,Basketball Heroes vs. Stairway To Headphones (Remixes),electronic,1996,1786205,varios,undefined
3,Josh Wink,artist,A Higher State Of Wink's Works - Compiled,electronic,1996,86639,varios,undefined
3,Josh Wink,artist,Are You There...,electronic,1996,86642,varios,undefined
3,Josh Wink,artist,Left Above The Clouds,electronic,1996,86652,varios,undefined
3,Josh Wink,artist,You Are The One,electronic,1996,86654,varios,undefined
3,Josh Wink,artist,Verano Azul,electronic,1997,44002,"12"", S/Edition",Vinyl
3,Josh Wink,artist,"CNN News Piece ""Techno Music"" / Are You There",electronic,1997,10868263,"VHS, Advance, NTSC",DVD_VHS
3,Josh Wink,artist,Summer '97,electronic,1997,11129270,"Cass, Mixed",Cassette
3,Josh Wink,artist,Sixth Sense,electronic,1997,86669,varios,undefined
3,Josh Wink,artist,Live Mix,electronic,1998,306438,"Cass, Mixed, Promo",
3,Josh Wink,artist,Track 9,electronic,1998,164535,varios,undefined
3,Josh Wink,artist,Herehear,electronic,1998,30529,varios,undefined
3,Josh Wink,artist,Simple Man,electronic,1998,30566,varios,undefined
3,Josh Wink,artist,Untitled / Pop Culture,electronic,1999,515159,"12"", Ltd, Promo, Smplr, W/Lbl",Vinyl
3,Josh Wink,artist,Profound Sounds Vol. 1,electronic,1999,15016601,"12"", W/Lbl",Vinyl
3,Josh Wink,artist,Profound Sounds Vol. 1,electronic,1999,66526,varios,undefined
3,Josh Wink,artist,How's Your Evening So Far?,electronic,2000,86677,varios,undefined
3,Josh Wink,artist,It's The Machines,electronic,2001,109626,"12"", S/Sided, Promo, TP",Vinyl
3,Josh Wink,artist,Headstart Mix,electronic,2001,1842133,CD,CD
3,Josh Wink,artist,Evil Acid,electronic,2001,86681,varios,undefined
3,Josh Wink,artist,Superfreak (Freak),electronic,2002,86701,varios,undefined
3,Josh Wink,artist,20 To 20,electronic,2003,86664,varios,undefined
3,Josh Wink,artist,Profound Sounds Vol. 2,electronic,2003,64791,varios,undefined
3,Josh Wink,artist,Fill Me With Acid / Oakish,electronic,2004,634880,varios,undefined
3,Josh Wink,artist,Ovum: The Fall Collection,electronic,2004,561533,varios,undefined
3,Josh Wink,artist,Rise Above / F-Groove,electronic,2004,33429,varios,undefined
3,Josh Wink,artist,516 Acid,electronic,2004,122763,varios,undefined
3,Josh Wink,artist,Higher State Of Consciousness (Remix) / Green Jam,electronic,2005,495277,"12""",Vinyl
3,Josh Wink,artist,Seeing Through Shadows / Have To Get Back,electronic,2006,736487,"12"", Promo",Vinyl
3,Josh Wink,artist,Have To Get Back (Non Vox Version),electronic,2006,1062446,"12"", S/Sided, Promo",Vinyl
3,Josh Wink,artist,Profound Sounds Vol. 3,electronic,2006,86692,varios,undefined
3,Josh Wink,artist,Josh Wink's Acid Classics,electronic,2007,741986,varios,undefined
3,Josh Wink,artist,Thick As Thieves,electronic,2007,86682,varios,undefined
3,Josh Wink,artist,Swirl,electronic,2007,271196,varios,undefined
3,Josh Wink,artist,Stay Out All Night,electronic,2008,86685,varios,undefined
3,Josh Wink,artist,When A Banana Was Just A Banana (Album Sampler),electronic,2009,1611199,"2x12"", Smplr",Vinyl
4,Johannes Heil,artist,Die Offenbarung,electronic,1996,202664,varios,undefined
4,Johannes Heil,artist,Der Tod,electronic,1997,619523,varios,undefined
4,Johannes Heil,artist,Bittersüss,electronic,1997,979645,varios,undefined
4,Johannes Heil,artist,No Gain No Pain RMXes,electronic,1997,214867,varios,undefined
4,Johannes Heil,artist,Amen,electronic,1997,1265525,varios,undefined
4,Johannes Heil,artist,Feiern,electronic,1997,45535,varios,undefined
4,Johannes Heil,artist,Reality To Midi,electronic,1998,27140,varios,undefined
4,Johannes Heil,artist,Sniper EP,electronic,1998,27143,varios,undefined
4,Johannes Heil,artist,Amerika,electronic,1998,282168,varios,undefined
4,Johannes Heil,artist,P.A.X.,electronic,1998,690255,varios,undefined
4,Johannes Heil,artist,Calling,electronic,1998,454509,varios,undefined
4,Johannes Heil,artist,Per Disciplinum Mea Lux Videbis,electronic,1998,549824,varios,undefined
4,Johannes Heil,artist,Die Eigene Achse,electronic,1998,27122,varios,undefined
4,Johannes Heil,artist,Let The Time Go By !?!,electronic,1999,265032,"12"", S/Sided, Etch, Ltd",Vinyl
4,Johannes Heil,artist,Illuminate The Planet,electronic,1999,27138,varios,undefined
4,Johannes Heil,artist,German Rebel,electronic,1999,690305,varios,undefined
4,Johannes Heil,artist,The Eye Of Providence,electronic,1999,486671,varios,undefined
4,Johannes Heil,artist,Who Am I,electronic,1999,1823556,varios,undefined
4,Johannes Heil,artist,Isis & Osiris,electronic,2000,5442,"12""",Vinyl
4,Johannes Heil,artist,Future Primitive,electronic,2000,27136,varios,undefined
4,Johannes Heil,artist,Future Primitive,electronic,2000,608955,varios,undefined
4,Johannes Heil,artist,Dark Eldar,electronic,2001,5604,"12""",Vinyl
4,Johannes Heil,artist,Der Löwe Von Judah,electronic,2001,19281,"2x12"", W/Lbl",Vinyl
4,Johannes Heil,artist,Feiern,electronic,2001,285881,varios,undefined
4,Johannes Heil,artist,Die Zahl Des Tieres,electronic,2001,3357553,varios,undefined
4,Johannes Heil,artist,Die Formel Der Liebe,electronic,2001,784311,varios,undefined
4,Johannes Heil,artist,20.000 Leagues Under The Skin,electronic,2002,282166,varios,undefined
4,Johannes Heil,artist,The Hitmachine,electronic,2002,975628,varios,undefined
4,Johannes Heil,artist,Paranoid Dancer,electronic,2002,27124,varios,undefined
4,Johannes Heil,artist,Heilstyle,electronic,2002,27132,varios,undefined
4,Johannes Heil,artist,The Hitmachine 2,electronic,2003,443775,varios,undefined
4,Johannes Heil,artist,20.000 Leagues Under The Skin,electronic,2003,27129,varios,undefined
4,Johannes Heil,artist,Essential Underground Vol. 08: Vienna / FFM,electronic,2004,254652,CD,CD
4,Johannes Heil,artist,P.D.D.,electronic,2004,252446,varios,undefined
4,Johannes Heil,artist,The Seventh Seal,electronic,2004,282167,varios,undefined
4,Johannes Heil,artist,The World,electronic,2004,27198,varios,undefined
4,Johannes Heil,artist,Changes / The World,electronic,2004,640128,varios,undefined
4,Johannes Heil,artist,Fear E.P.,electronic,2005,498285,varios,undefined
4,Johannes Heil,artist,The Magician & The Fool,electronic,2005,585383,varios,undefined
4,Johannes Heil,artist,Don't Stop!,electronic,2005,660179,varios,undefined
4,Johannes Heil,artist,The Remedy Presents - Love Part One / Love Part Two,electronic,2005,484682,varios,undefined
4,Johannes Heil,artist,The Seven Seals Of Revelation Chapter Two,electronic,2005,353615,varios,undefined
4,Johannes Heil,artist,Dejavu,electronic,2005,45564,varios,undefined
4,Johannes Heil,artist,Boo,electronic,2006,782263,"12""",Vinyl
4,Johannes Heil,artist,PDD / Think Tank,electronic,2006,852624,"12""",Vinyl
4,Johannes Heil,artist,Freaks R Us,electronic,2006,27203,varios,undefined
4,Johannes Heil,artist,The * Is Back,electronic,2006,27209,varios,undefined
4,Johannes Heil,artist,Remix R Us Pt.1,electronic,2006,314037,varios,undefined
4,Johannes Heil,artist,Freaks R Us,electronic,2006,233845,varios,undefined
4,Johannes Heil,artist,Remix R Us Pt.2,electronic,2007,234094,varios,undefined
5,Heiko Laux,artist,Re-Laux,no description,1994,131819,"12""",Vinyl
5,Heiko Laux,artist,Gnom's Boogie EP,no description,1995,26635,"12"", EP",Vinyl
5,Heiko Laux,artist,Sahara Effects,no description,1995,27148,varios,undefined
5,Heiko Laux,artist,Tieup To Machines,no description,1995,75812,varios,undefined
5,Heiko Laux,artist,Run EP,no description,1995,658180,varios,undefined
5,Heiko Laux,artist,Mainplateau EP,no description,1996,867858,varios,undefined
5,Heiko Laux,artist,Moonside Playground,no description,1996,1158233,varios,undefined
5,Heiko Laux,artist,There Is No Return,no description,1997,867855,varios,undefined
5,Heiko Laux,artist,Dedicated 2 All Believers,no description,1997,27275,varios,undefined
5,Heiko Laux,artist,Crashed Candies,no description,1997,1070766,varios,undefined
5,Heiko Laux,artist,No Gain No Pain RMXes,no description,1997,214867,varios,undefined
5,Heiko Laux,artist,The Old School Street Previous,no description,1998,64776,"12""",Vinyl
5,Heiko Laux,artist,The Oldschoolstreet,no description,1998,27265,varios,undefined
5,Heiko Laux,artist,Liquidism,no description,1998,27272,varios,undefined
5,Heiko Laux,artist,Souldancer,no description,1998,27284,varios,undefined
5,Heiko Laux,artist,Re-Televised,no description,1998,686384,varios,undefined
5,Heiko Laux,artist,Classic Open - Heiko Laux Mix,no description,1999,69763,CD,CD
5,Heiko Laux,artist,Presence,no description,1999,374841,varios,undefined
5,Heiko Laux,artist,SenseficTion,no description,2000,27287,varios,undefined
5,Heiko Laux,artist,SenseficTion Remixed,no description,2000,443773,varios,undefined
5,Heiko Laux,artist,Walkout,no description,2001,1471598,varios,undefined
5,Heiko Laux,artist,Falling,no description,2001,743162,varios,undefined
5,Heiko Laux,artist,Ornaments (Re-Inhaled),no description,2002,41626,"12""",Vinyl
5,Heiko Laux,artist,Temp. Space,no description,2002,67754,CD,CD
5,Heiko Laux,artist,Tyranids,no description,2002,79365,"12""",Vinyl
5,Heiko Laux,artist,Eartha Kitt,no description,2002,2112,varios,undefined
5,Heiko Laux,artist,Ornaments,no description,2002,27288,varios,undefined
5,Heiko Laux,artist,Somatic EP,no description,2002,80126,varios,undefined
5,Heiko Laux,artist,The Silent Bass,no description,2002,1514942,varios,undefined
5,Heiko Laux,artist,Still Lively,no description,2003,2167894,varios,undefined
5,Heiko Laux,artist,Offshore Funk,no description,2003,27289,varios,undefined
5,Heiko Laux,artist,Matter Anthem,no description,2003,366955,varios,undefined
5,Heiko Laux,artist,Spread,no description,2005,27296,varios,undefined
5,Heiko Laux,artist,Bouncism / Matter Anthem (Remix),no description,2005,1070815,varios,undefined
5,Heiko Laux,artist,Waves,no description,2006,27301,varios,undefined
5,Heiko Laux,artist,Waves Remixed,no description,2007,27293,varios,undefined
5,Heiko Laux,artist,Mirabella / Zeitluke,no description,2008,1296901,"12""",Vinyl
5,Heiko Laux,artist,Dubfix,no description,2008,774636,varios,undefined
5,Heiko Laux,artist,Bitscream,no description,2009,1716503,"12""",Vinyl
5,Heiko Laux,artist,Hutspot / Stamppot,no description,2009,349404,varios,undefined
5,Heiko Laux,artist,Figure SPC H,no description,2010,287508,varios,undefined
5,Heiko Laux,artist,Can't Unspill The Milk,no description,2011,3057314,"5xFile, MP3, 320",
5,Heiko Laux,artist,The Cat On Barbed Wire,no description,2011,381218,varios,undefined
5,Heiko Laux,artist,The Viking,no description,2011,401732,varios,undefined
5,Heiko Laux,artist,Guadaloop / Namib,no description,2011,409471,varios,undefined
5,Heiko Laux,artist,Girl / Jack Up,no description,2012,3843531,"2xFile, MP3, 320",
5,Heiko Laux,artist,Polyrhythm,no description,2012,400769,varios,undefined
5,Heiko Laux,artist,Splinter,no description,2013,4776914,"12"", EP",Vinyl
5,Heiko Laux,artist,Lucho Part 1 & 2,no description,2013,5062337,"12""",Vinyl
5,Heiko Laux,artist,Moonside Playground 2013,no description,2013,676419,varios,undefined
6,K.A.B.,vendor,Excursion,no description,2012,4954222,"3xFile, MP3, 320",
6,K.A.B.,vendor,Tours 2 Chauffe,no description,2007,30355991,CD,CD
7,Sylk 130,vendor,Gettin' Into It,no description,1996,86847,varios,undefined
7,Sylk 130,vendor,When The Funk Hits The Fan,no description,1997,86822,varios,undefined
7,Sylk 130,vendor,Last Night A DJ Saved My Life,no description,1997,86836,varios,undefined
7,Sylk 130,vendor,The Reason / When The Funk Hits The Fan,no description,1997,86845,varios,undefined
7,Sylk 130,vendor,The Reason,no description,1998,86829,varios,undefined
7,Sylk 130,vendor,The Reason / Gettin' Into It,no description,1998,86862,varios,undefined
7,Sylk 130,vendor,When The Funk Hits The Fan (The Remixes),no description,1999,86824,varios,undefined
7,Sylk 130,vendor,When The Funk Hits The Fan (The Remixes),no description,1999,275960,varios,undefined
7,Sylk 130,vendor,Happiness,no description,2000,86814,varios,undefined
7,Sylk 130,artist,Rising,house,2001,86803,varios,undefined
7,Sylk 130,vendor,Re-Members Only,no description,2001,86809,varios,undefined
7,Sylk 130,vendor,I Can't Wait / Romeo's Fate,no description,2002,443608,"12""",Vinyl
7,Sylk 130,vendor,I Can't Wait,no description,2004,3599228,varios,undefined
7,Sylk 130,vendor,Fallen Angel,no description,2008,2124710,"2xFile, MP3, Single, VBR",
7,Sylk 130,vendor,Four From For,no description,1993,636787,CD,CD
7,Sylk 130,vendor,Lift Me / Yeadon,no description,1995,4280,"12""",Vinyl
7,Sylk 130,vendor,Dream House,no description,1996,683545,varios,undefined
7,Sylk 130,vendor,I Love You Always Forever,no description,1996,83741,varios,undefined
7,Sylk 130,vendor,Heaven (Remixes),no description,1998,165006,varios,undefined
7,Sylk 130,vendor,"I Love The Nightlife (Disco Round) - 12"" Remixes",no description,1998,113729,varios,undefined
7,Sylk 130,vendor,Easy,no description,1999,29792920,CD,CD
7,Sylk 130,vendor,"My House Vol. 05 – A House Music Compilation By DJ Jef K, Paris",no description,2000,48765,CD,CD
7,Sylk 130,vendor,Macy Gray,no description,2000,135548,CD,CD
7,Sylk 130,vendor,Off Limits 2,no description,2000,2467072,varios,undefined
7,Sylk 130,vendor,Disco Jazz Volume 1: Jazz For The House Generation,no description,2003,542947,CD,CD
7,Sylk 130,vendor,Remixes,no description,2001,49997,CD,CD
7,Sylk 130,vendor,Blueprints Volume 2,no description,2002,196684,varios,undefined
7,Sylk 130,vendor,We Love DJ Kool Herc,no description,2011,5274196,CD,CD
7,Sylk 130,vendor,Brownswood Workshop - Multidirection 2,no description,1995,35896,varios,undefined
7,Sylk 130,vendor,"What's New, Linda?",no description,1996,4845837,CD,CD
7,Sylk 130,vendor,The Groove Of America 3,no description,1997,315808,CD,CD
7,Sylk 130,vendor,A Soul Product Of Our Environment,no description,1997,1435382,CD,CD
7,Sylk 130,vendor,House Junkies,no description,1997,2313481,CD,CD
7,Sylk 130,vendor,Aug. / Sept. 1997 Limited Popkomm. Edition ,no description,1997,4983067,CD,CD
7,Sylk 130,vendor,Painting,no description,1997,10300092,CD,CD
7,Sylk 130,vendor,Ruffhouse Records - 1997 Hit List,no description,1997,14291212,"Cass, Promo, Smplr",Cassette
7,Sylk 130,vendor,R&B #18 - Bubblin',no description,1997,14758611,"Cass, Mixed",Cassette
7,Sylk 130,vendor,Teddy's Jam,no description,1997,15597751,"Cass, Comp",Cassette
7,Sylk 130,vendor,"What's New, Debbie?",no description,1997,15623713,CD,CD
7,Sylk 130,vendor,You Heard It First,no description,1997,17643742,CD,CD
7,Sylk 130,vendor,Major In Music - Play This,no description,1997,24402779,CD,CD
7,Sylk 130,vendor,Sony Music - Tavaszi Kereskedelmi Bemutató - 1997 Április,no description,1997,26625836,CD,CD
7,Sylk 130,vendor,Future Jams 64,no description,1997,28701067,CD,CD
